"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"56","Gabriel Knight 2: The Beast Within","Aug 29, 2016","$5.99","N/A (N/A)","32,612 ±4,673","00:51"
"32","Gabriel Knight: Sins of the Fathers","Aug 29, 2016","$5.99","N/A (N/A)","32,262 ±4,648","02:51"
"45","Caesar 3","Aug 29, 2016","$5.99","N/A (N/A)","31,736 ±4,609","03:35"
"46","TRANSFORMERS: Rise of the Dark Spark","Jun 24, 2014","$49.99","13% (53%)","26,826 ±4,238","13:35"
"28","Spider-Man: Shattered Dimensions","Oct 23, 2015","$29.99","23% (63%/68%)","25,073 ±4,097","06:55"
"63","Fast & Furious: Showdown","May 21, 2013","$29.99","3% (32%)","20,339 ±3,690","03:50"
"26","White Night","Mar 3, 2015","$14.99","49% (79%/68%)","16,657 ±3,339","02:44"
"59","Cabelas Trophy Bucks","May 16, 2008","$19.99","2% (28%)","15,780 ±3,250","03:01"
"48","3D Ultra Minigolf Adventures Deluxe","Jul 23, 2009","$9.99","N/A (N/A)","12,799 ±2,927","03:32"
"41","Cabela's Dangerous Hunts 2013","Oct 22, 2012","$14.99","8% (44%)","12,273 ±2,866","02:13"
"44","Street Legal Racing: Redline v2.3.1","Aug 5, 2016","$6.99","54% (81%)","11,397 ±2,762","09:49"
"47","Cabela's Hunting Expeditions","Oct 22, 2012","$14.99","N/A (N/A)","9,643 ±2,541","05:23"
"60","Cabela's African Adventures","Oct 16, 2013","$14.99","12% (51%)","9,643 ±2,541","02:54"
"65","Aces of the Galaxy","Jul 23, 2009","$9.99","N/A (N/A)","5,961 ±1,998","01:44"
"52","Marvel: Ultimate Alliance","Jul 26, 2016","$39.99","10% (48%)","5,611 ±1,938","04:03"
"49","Teenage Mutant Ninja Turtles: Mutants in Manhattan","May 24, 2016","$39.99","23% (63%)","5,435 ±1,907","07:23"
"61","Marvel: Ultimate Alliance 2","Jul 26, 2016","$39.99","8% (45%)","5,435 ±1,907","02:58"
"36","Duck Dynasty","Oct 14, 2014","$39.99","34% (71%)","3,857 ±1,607","00:47"
"34","Ghostbusters","Jul 12, 2016","$49.99","N/A (N/A)","2,279 ±1,235","04:20"
"43","Call of Duty: Black Ops III Beta","Nov 5, 2015","$59.99","3% (32%)","1,753 ±1,083","00:00"
